name,success,vote_average,vote_count,director_popularity,cast_popularity,movie_popularity,reputable_production,budget_info,budget,revenue,runtime,tmdb_id,imdb_id,reviews,sentiment,year,month,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,science_fiction,tv_movie,thriller,war,western
Inception,1,8.369,36021,63.116,716.817,120.13,1,1,160000000,825532764,148,27205,tt1375666,1,0.72055,10,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Interstellar,1,8.438,34756,63.116,749.336,226.18,1,1,165000000,701729206,169,157336,tt0816692,1,0.8656625,14,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Dark Knight,1,8.516,32235,63.116,1213.634,178.218,1,1,185000000,1004558444,152,155,tt0468569,1,0.6480230769230769,8,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Avatar,1,7.582,31067,19.221,552.352,115.791,1,1,237000000,2923706026,162,19995,tt0499549,1,0.84265,9,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Avengers,1,7.716,30268,11.448,1075.793,154.699,1,1,220000000,1518815515,143,24428,tt0848228,1,0.781885,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deadpool,1,7.616,30187,13.825,524.364,398.613,1,1,58000000,782837347,108,293660,tt1431045,1,0.9075272727272728,16,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Infinity War,1,8.246,29148,11.116,1812.322,241.883,1,1,300000000,2052415039,149,299536,tt4154756,1,0.4362199999999999,18,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Guardians of the Galaxy,1,7.909,27625,20.86,1104.153,66.322,1,1,170000000,772776600,121,118340,tt2015381,1,0.8540923076923076,14,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Philosopher's Stone,1,7.914,26802,14.159,771.217,219.27,1,1,125000000,976475550,152,671,tt0241527,1,0.979,1,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Iron Man,1,7.645,25933,35.221,586.207,113.434,1,1,140000000,585174222,126,1726,tt0371746,1,0.82331,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Django Unchained,1,8.181,25785,34.988,1101.367,89.156,1,1,100000000,425368238,165,68718,tt1853728,1,0.1267285714285714,12,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Avengers: Endgame,1,8.254,25109,11.116,2550.787,139.259,1,1,356000000,2799439100,181,299534,tt4154796,1,0.452625,19,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Joker,1,8.159,24886,10.864,532.274,97.842,1,1,55000000,1078958629,122,475557,tt7286456,1,0.2115263157894737,19,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Lord of the Rings: The Fellowship of the Ring,1,8.415,24580,23.731,719.089,197.092,1,1,93000000,871368364,179,120,tt0120737,1,0.9161888888888888,1,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,1,8.482,23640,23.731,927.91,161.482,1,1,94000000,1118888979,201,122,tt0167260,1,0.2807142857142857,3,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shutter Island,1,8.203,23517,30.804,492.423,86.626,1,1,80000000,294804195,138,11324,tt1130884,1,0.6443875,10,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
The Wolf of Wall Street,1,8.037,23471,30.804,1172.37,116.645,0,1,100000000,392000000,180,106646,tt0993846,1,0.8614,13,12,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Age of Ultron,1,7.274,22603,11.448,1148.215,139.143,1,1,365000000,1405403694,141,99861,tt2395427,1,0.670755,15,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Captain America: Civil War,1,7.443,22338,11.116,1186.351,126.28,1,1,250000000,1155046416,147,271110,tt3498820,1,0.47067,16,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Dark Knight Rises,1,7.781,22296,63.116,2034.433,99.941,1,1,250000000,1081041287,165,49026,tt1345836,1,0.8479181818181818,12,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Mad Max: Fury Road,1,7.607,22136,16.273,517.271,240.429,1,1,150000000,378858340,121,76341,tt1392190,1,0.2260615384615384,15,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Black Panther,1,7.386,21847,13.694,629.524,83.557,1,1,200000000,1349926083,135,284054,tt1825683,1,0.602035,18,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Inglourious Basterds,1,8.22,21839,34.988,810.526,90.301,1,1,70000000,321457747,153,16869,tt0361748,1,0.709075,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Iron Man 3,1,6.93,21833,5.677,1017.456,98.729,1,1,200000000,1215577205,130,68721,tt1300854,1,0.3942333333333334,13,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Hunger Games,1,7.209,21606,8.68,780.354,42.367,1,1,75000000,694394724,142,70160,tt1392170,1,0.2453285714285714,12,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Chamber of Secrets,1,7.721,21499,14.159,935.307,191.248,1,1,100000000,876688482,161,672,tt0295297,1,0.8253333333333334,2,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Spider-Man: Homecoming,1,7.338,21399,9.877,1043.701,111.394,1,1,175000000,880166924,133,315635,tt2250912,1,0.7620833333333333,17,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Lord of the Rings: The Two Towers,1,8.397,21364,23.731,920.464,89.173,1,1,79000000,926287400,179,121,tt0167261,1,0.6223666666666666,2,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Inside Out,1,7.916,21258,17.04,599.234,704.738,1,1,175000000,857611174,95,150540,tt2096673,1,0.54253,15,6,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Guardians of the Galaxy Vol. 2,1,7.62,21198,20.86,1056.67,107.226,1,1,200000000,863756051,137,283995,tt3896198,1,0.629685,17,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Prisoner of Azkaban,1,8.019,21103,17.987,914.496,191.368,1,1,130000000,789804554,141,673,tt0304141,1,0.3811,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Captain America: The First Avenger,1,7.001,21060,17.517,869.7090000000001,62.261,1,1,140000000,370569774,124,1771,tt0458339,1,0.8448285714285715,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Suicide Squad,0,5.917,20795,9.998,947.885,53.677,1,1,175000000,749200054,122,297761,tt1386697,1,0.0405333333333333,16,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thor,1,6.769,20782,26.439,821.748,94.702,1,1,150000000,449326618,115,10195,tt0800369,1,0.699255,11,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Iron Man 2,1,6.841,20626,35.221,915.564,253.296,1,1,200000000,623933331,124,10138,tt1228705,1,0.39958,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Batman Begins,1,7.708,20555,63.116,1152.281,94.741,1,1,150000000,374218673,140,272,tt0372784,1,0.58335,5,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thor: Ragnarok,1,7.594,20399,21.728,976.18,105.618,1,1,180000000,855301806,131,284053,tt3501632,1,0.5606150000000001,17,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Goblet of Fire,1,7.815,20261,6.47,1160.493,175.416,1,1,150000000,895921036,157,674,tt0330373,1,0.7853,5,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: The Curse of the Black Pearl,1,7.803,20179,10.982,653.22,225.119,1,1,140000000,655011224,143,22,tt0325980,1,0.8983666666666666,3,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 2,1,8.097,20157,16.005,1467.447,165.831,1,1,125000000,1341511219,130,12445,tt1201607,1,0.9587333333333332,11,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jurassic World,1,6.689,20057,5.85,623.707,104.491,1,1,150000000,1671537444,124,135397,tt0369610,1,0.7338214285714286,15,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Up,1,8.0,19838,17.04,306.475,134.284,1,1,175000000,735099082,96,14160,tt1049413,1,0.6571333333333333,9,5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wonder Woman,1,7.226,19650,5.488,678.903,98.612,0,1,149000000,823970682,141,297762,tt0451279,1,0.7357333333333332,17,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Spider-Man: No Way Home,1,7.963,19638,9.877,1031.146,256.105,1,1,200000000,1921847111,148,634649,tt10872600,1,0.6861533333333334,21,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ant-Man,1,7.078,19419,6.735,781.904,85.425,1,1,130000000,519311965,117,102899,tt0478970,1,0.9236307692307693,15,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Martian,1,7.686,19378,19.968,710.734,60.638,1,1,108000000,631058917,141,286217,tt3659388,1,0.7973750000000001,15,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Order of the Phoenix,1,7.682,19070,16.005,1286.14,127.621,1,1,150000000,938212738,138,675,tt0373889,1,0.9184,7,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Star Wars: The Force Awakens,1,7.279,19061,12.654,1425.293,88.645,0,1,245000000,2068223624,136,140607,tt2488496,1,0.46055,15,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Half-Blood Prince,1,7.7,19036,16.005,938.495,167.114,1,1,250000000,933959197,153,767,tt0417741,1,0.8938,9,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coco,1,8.213,18981,7.673,263.589,169.551,1,1,175000000,807816196,105,354912,tt2380307,1,0.9287,17,10,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Finding Nemo,1,7.822,18907,20.993,788.205,132.693,1,1,94000000,940335536,100,12,tt0266543,1,0.8268,3,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Logan,1,7.819,18861,9.684,654.126,138.45,1,1,97000000,619021436,137,263115,tt3315342,1,0.4157090909090909,17,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
John Wick,1,7.433,18815,17.301,633.417,100.787,0,1,20000000,88761661,101,245891,tt2911666,1,0.5123538461538462,14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
It,1,7.239,18717,6.836,486.969,93.718,1,1,79000000,473100000,135,346364,tt1396484,1,0.3415888888888889,17,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 1,1,7.754,18686,16.005,1526.427,137.494,1,1,250000000,954305868,146,12444,tt0926084,1,0.95605,10,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Spider-Man,1,7.297,18663,25.391,914.458,114.522,1,1,139000000,821708551,121,557,tt0145487,1,0.545585,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fantastic Beasts and Where to Find Them,1,7.325,18494,16.005,940.757,129.713,1,1,180000000,809342332,132,259316,tt3183660,1,0.4413,16,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Captain America: The Winter Soldier,1,7.665,18431,11.116,1036.459,41.034,1,1,170000000,714766572,136,100402,tt1843866,1,0.9281583333333332,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WALL·E,1,8.091,18400,20.993,347.068,112.345,1,1,180000000,521311860,98,10681,tt0910970,1,0.95408,8,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Gone Girl,1,7.893,18254,16.61,610.281,96.675,1,1,61000000,369300000,149,210577,tt2267998,1,0.45542,14,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"Monsters, Inc.",1,7.845,18084,15.465,641.209,159.305,1,1,115000000,579700000,92,585,tt0198781,1,0.99005,1,11,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: An Unexpected Journey,1,7.355,18054,23.731,680.865,104.67,1,1,250000000,1021103568,169,49051,tt0903624,1,0.9639333333333332,12,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gladiator,1,8.218,18033,21.227,492.33,125.249,1,1,103000000,465361176,155,98,tt0172495,1,0.72554,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Revenant,1,7.532,17813,12.169,493.225,53.625,1,1,135000000,532950503,157,281957,tt1663202,1,0.3392,15,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Batman v Superman: Dawn of Justice,0,5.969,17667,22.261,1384.03,96.66,1,1,250000000,874362803,152,209112,tt2975590,1,0.3089307692307692,16,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Arrival,1,7.604,17431,23.867,371.745,69.466,1,1,47000000,203388186,116,329865,tt2543164,1,0.4830333333333333,16,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Arrival,1,7.604,17431,23.867,371.745,69.466,1,1,47000000,203388186,116,329865,tt2543164,1,0.4830333333333333,16,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
The Incredibles,1,7.708,17324,11.752,412.742,117.081,1,1,92000000,631442092,115,9806,tt0317705,1,0.9854,4,10,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deadpool 2,1,7.491,17274,15.297,1125.517,307.917,1,1,110000000,785896632,120,383498,tt5463162,1,0.8063222222222222,18,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man,1,6.704,17049,11.721,668.5889999999999,118.789,1,1,215000000,757930663,136,1930,tt0948470,1,0.99165,12,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Split,1,7.346,17043,18.651,352.841,92.063,1,1,9000000,278454358,117,381288,tt4972582,1,0.9629285714285716,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Kill Bill: Vol. 1,1,7.971,17033,34.988,627.8820000000001,66.315,1,1,30000000,180906076,111,24,tt0266697,1,0.31866,3,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hunger Games: Catching Fire,1,7.427,17033,9.742,867.213,88.856,1,1,130000000,865011746,146,101299,tt1951264,1,0.4616714285714285,13,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Get Out,1,7.622,17002,21.365,351.386,63.622,1,1,4500000,255407969,104,419430,tt5052448,1,0.58095,17,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Thor: The Dark World,1,6.528,16993,11.074,891.446,98.4,1,1,170000000,644783140,112,76338,tt1981115,1,0.2853549999999999,13,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shrek,1,7.745,16751,10.813,324.299,188.898,1,1,60000000,488628188,90,808,tt0126029,1,0.895675,1,5,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Imitation Game,1,8.003,16721,9.231,465.909,196.191,1,1,14000000,233600000,113,205596,tt2084970,1,0.9664,14,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
The Maze Runner,1,7.184,16661,8.177,346.907,170.556,1,1,34000000,348319861,113,198663,tt1790864,1,0.4673571428571428,14,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Ratatouille,1,7.824,16658,11.752,376.83,122.707,1,1,150000000,623726000,111,2062,tt0382932,0,-999.0,7,6,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bohemian Rhapsody,1,7.987,16606,7.929,395.856,69.535,1,1,52000000,918355943,135,424694,tt1727824,1,0.5346,18,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The Hangover,1,7.323,16511,10.864,567.427,117.394,1,1,35000000,469310836,100,18785,tt1119646,0,-999.0,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La La Land,1,7.901,16483,14.478,687.71,65.487,1,1,30000000,447407695,129,313369,tt3783958,1,0.8579555555555556,16,11,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Kingsman: The Secret Service,1,7.636,16338,16.722,554.639,105.41,1,1,81000000,414351546,129,207703,tt2802144,1,0.9035125,14,12,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frozen,1,7.247,16214,6.988,550.044,112.96,1,1,150000000,1274219009,102,109445,tt2294629,1,0.7897142857142857,13,11,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dunkirk,1,7.457,16183,63.116,619.796,44.255,1,1,150000000,527000000,107,374720,tt5013056,1,0.4103846153846154,17,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Zootopia,1,7.748,15963,8.708,533.151,100.58,1,1,150000000,1023784195,109,269149,tt2948356,1,0.9602909090909092,16,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Prestige,1,8.205,15650,63.116,587.076,68.777,1,1,40000000,109676311,130,1124,tt0482571,1,0.64708,6,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest,1,7.36,15587,10.982,657.898,192.461,1,1,200000000,1065700000,151,58,tt0383574,1,0.7493,6,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Hunger Games: Mockingjay - Part 1,1,6.81,15531,9.742,763.365,105.245,1,1,125000000,755356711,123,131631,tt1951265,1,0.6842,14,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Venom,1,6.829,15489,7.98,573.954,117.925,1,1,116000000,856085151,112,335983,tt1270797,1,0.7847636363636364,18,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Captain Marvel,1,6.82,15414,9.195,879.6030000000001,54.324,1,1,152000000,1131416446,124,299537,tt4154664,1,0.4344882352941176,19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
I Am Legend,1,7.207,15413,9.742,339.008,88.702,1,1,150000000,585410052,101,6479,tt0480249,1,0.4408666666666667,7,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Baby Driver,1,7.452,15382,16.061,489.88,63.833,1,1,34000000,226945087,113,339403,tt3890160,1,0.7328916666666667,17,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Far From Home,1,7.429,15328,9.877,919.614,149.382,1,1,160000000,1131927996,129,429617,tt6320628,1,0.7279875,19,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Big Hero 6,1,7.735,15323,8.069,440.051,177.747,1,1,165000000,657827828,102,177572,tt2245084,1,0.74210625,14,10,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Catch Me If You Can,1,7.977,15307,61.824,1001.444,81.564,0,1,52000000,352114312,141,640,tt0264464,1,0.992175,2,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Now You See Me,1,7.343,15264,12.205,645.907,59.183,1,1,75000000,351700000,116,75656,tt1670345,1,0.54225,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Beauty and the Beast,1,6.968,15253,10.223,663.016,120.32,1,1,160000000,1266115964,129,321612,tt2771200,1,0.8054375,17,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Spider-Man: Into the Spider-Verse,1,8.403,15223,4.239,774.597,143.363,1,1,90000000,384298736,117,324857,tt4633694,1,0.63939,18,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ready Player One,1,7.6,15211,58.947,812.32,77.713,1,1,175000000,607274134,140,333339,tt1677720,1,0.66455,18,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
World War Z,1,6.816,15074,5.761,539.817,91.943,1,1,200000000,531865000,116,72190,tt0816711,1,-0.4764,13,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Gravity,1,7.167,15061,17.987,153.386,50.989,1,1,105000000,723192705,91,49047,tt1454468,1,0.890475,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
X-Men: Days of Future Past,1,7.529,14994,7.929,1038.786,137.801,1,1,250000000,747862775,132,127585,tt1877832,1,0.7901428571428571,14,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Star Wars: The Last Jedi,1,6.801,14984,15.78,1023.44,80.833,0,1,200000000,1332698830,152,181808,tt2527336,1,0.06628125,17,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rogue One: A Star Wars Story,1,7.493,14976,5.082,1188.635,90.729,0,1,200000000,1056057273,133,330459,tt3748528,1,0.2993333333333333,16,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rogue One: A Star Wars Story,1,7.493,14976,5.082,1188.635,90.729,0,1,200000000,1056057273,133,330459,tt3748528,1,0.2993333333333333,16,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Skyfall,1,7.24,14937,17.329,593.137,55.203,1,1,200000000,1142471295,143,37724,tt1074638,1,0.6327166666666667,12,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Man of Steel,1,6.624,14858,22.261,914.854,64.406,1,1,225000000,668045518,143,49521,tt0770828,1,0.2213833333333333,13,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Charlie and the Chocolate Factory,1,7.051,14842,21.545,685.4780000000001,133.068,1,1,150000000,475000000,115,118,tt0367594,1,0.8891666666666667,5,7,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Spider-Man 2,1,7.28,14806,25.391,1181.419,31.138,1,1,200000000,788976453,127,558,tt0316654,1,0.590805,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Whiplash,1,8.382,14770,14.478,341.877,77.116,1,1,3300000,13092000,107,244786,tt2582802,1,0.8677222222222222,14,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Despicable Me,1,7.242,14765,17.972,474.24,235.618,1,1,69000000,543284256,95,20352,tt1323594,1,0.9865,10,7,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eternal Sunshine of the Spotless Mind,1,8.1,14562,16.135,281.69800000000004,81.097,1,1,20000000,72258126,108,38,tt0338013,1,0.62434,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
The Departed,1,8.169,14559,30.804,773.646,60.214,1,1,90000000,291465000,151,1422,tt0407887,1,0.81445,6,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Memento,1,8.182,14550,63.116,208.653,52.877,1,1,9000000,40000000,113,77,tt0209144,1,0.3819285714285714,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Grand Budapest Hotel,1,8.049,14499,16.591,805.629,55.223,1,1,30000000,174600318,100,120467,tt2278388,1,0.8746,14,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story 3,1,7.8,14393,7.673,790.821,106.13,1,1,200000000,1067316101,103,10193,tt0435761,1,0.8751000000000001,10,6,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
V for Vendetta,1,7.899,14183,7.846,602.573,61.771,0,1,54000000,132511035,132,752,tt0434409,1,0.9564,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Black Swan,1,7.686,14183,15.748,456.903,82.876,1,1,13000000,329400000,108,44214,tt0947798,1,0.8328,10,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Pirates of the Caribbean: At World's End,1,7.256,14006,10.982,732.3530000000001,160.419,1,1,300000000,961000000,169,285,tt0449088,1,-0.41855,7,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Her,1,7.858,14005,18.283,547.11,67.971,0,1,23000000,47351251,126,152601,tt1798709,1,0.8030166666666667,13,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
The Hobbit: The Battle of the Five Armies,1,7.3,13950,23.731,830.449,216.358,1,1,250000000,956019788,144,122917,tt2310332,1,0.5162249999999999,14,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Hateful Eight,1,7.752,13906,34.988,476.682,68.312,1,1,44000000,155760117,188,273248,tt3460252,1,-0.16425,15,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Aquaman,1,6.894,13820,14.655,744.187,66.572,1,1,160000000,1152028393,143,297802,tt1477834,1,0.6865583333333333,18,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A Quiet Place,1,7.4,13811,41.863,207.303,245.874,1,1,17000000,340955294,91,447332,tt6644200,1,-0.01898,18,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Spider-Man 3,1,6.425,13803,25.391,904.708,124.019,1,1,258000000,894983373,139,559,tt0413300,1,0.306695,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pirates of the Caribbean: On Stranger Tides,1,6.551,13711,4.952,814.312,153.768,1,1,379000000,1045700000,137,1865,tt1298650,1,0.37538,11,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alice in Wonderland,1,6.635,13690,21.545,735.447,114.641,1,1,200000000,1025467110,108,12155,tt1014759,1,0.8529,10,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sherlock Holmes,1,7.212,13678,36.687,529.248,47.131,1,1,90000000,524028679,129,10528,tt0988045,1,0.96085,9,12,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cars,1,6.973,13638,10.994,1047.201,83.661,1,1,120000000,461983149,117,920,tt0317219,1,0.8733,6,6,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kill Bill: Vol. 2,1,7.879,13566,34.988,758.099,72.06,1,1,30000000,152159461,136,393,tt0378194,1,0.9416,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
